standardized_smiles,pchembl_value_cxcr1,molecule_chembl_id_cxcr1,assay_chembl_id_cxcr1,document_chembl_id_cxcr1,assay_description_cxcr1,pchembl_value_cxcr2,molecule_chembl_id_cxcr2,assay_chembl_id_cxcr2,document_chembl_id_cxcr2,assay_description_cxcr2,Selectivity_Score
CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1cccc(F)c1,6.71,CHEMBL401512,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.31,CHEMBL401512,CHEMBL909848; CHEMBL929862,CHEMBL1141536; CHEMBL1138214,Displacement of [125I]IL8 from human CXCR2 by SPA assay; Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,1.6000000000000005
CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccccc1,6.59,CHEMBL254370,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.17,CHEMBL254370,CHEMBL909848; CHEMBL929862,CHEMBL1141536; CHEMBL1138214,Displacement of [125I]IL8 from human CXCR2 by SPA assay; Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,1.58
CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccco1,7.58,CHEMBL218115,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.42,CHEMBL218115,CHEMBL909848,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,0.8399999999999999
CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1cccs1,7.09,CHEMBL385715,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.22,CHEMBL385715,CHEMBL909848,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,1.1300000000000008
CCc1ccccc1N=C(NC#N)Nc1ccc(Cl)c(S(=O)(=O)N(C)C)c1O,6.29,CHEMBL386505,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,7.82,CHEMBL386505,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.5300000000000002
CN(C)S(=O)(=O)c1c(C(F)(F)F)ccc(N=C(NC#N)Nc2ccccc2Br)c1O,7.0,CHEMBL218665,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,8.15,CHEMBL218665,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.1500000000000004
CN(C)S(=O)(=O)c1c(Cl)ccc(N=C(NC#N)Nc2cccc(Cl)c2F)c1O,5.21,CHEMBL221039,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,7.54,CHEMBL221039,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,2.33
CN(C)S(=O)(=O)c1c(Cl)ccc(N=C(NC#N)Nc2ccccc2-c2ccccc2)c1O,6.12,CHEMBL425985,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,7.89,CHEMBL425985,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.7699999999999996
CN(C)S(=O)(=O)c1c(Cl)ccc(N=C(NC#N)Nc2ccccc2Br)c1O,7.26,CHEMBL218387,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,8.3,CHEMBL218387,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.040000000000001
CN(C)S(=O)(=O)c1c(Cl)ccc(N=C(NC#N)Nc2ccccc2C(F)(F)F)c1O,6.39,CHEMBL222075,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,7.92,CHEMBL222075,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.5300000000000002
CN(C)S(=O)(=O)c1c(Cl)ccc(N=C(NC#N)Nc2ccccc2F)c1O,5.81,CHEMBL220797,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,8.05,CHEMBL220797,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,2.240000000000001
CN(C)S(=O)(=O)c1c(Cl)ccc(N=C(NC#N)Nc2ccccc2OCc2ccccc2)c1O,6.53,CHEMBL376621,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,8.05,CHEMBL376621,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.5200000000000005
